,index,layer,chord_class,num_in_layer,count,chord_class_name,enantiomer
163,51,6,"(0, 1, 2, 6, 9, 10)",52,12,"(0, 1, 2, 6, 9, 10)","[0, 11, 10, 6, 3, 2]"
164,50,6,"(0, 1, 2, 6, 8, 10)",51,12,"(0, 1, 2, 6, 8, 10)","[0, 11, 10, 6, 4, 2]"
165,49,6,"(0, 1, 2, 6, 8, 9)",50,12,"(0, 1, 2, 6, 8, 9)","[0, 11, 10, 6, 4, 3]"
166,48,6,"(0, 1, 2, 6, 7, 10)",49,12,"(0, 1, 2, 6, 7, 10)","[0, 11, 10, 6, 5, 2]"
167,47,6,"(0, 1, 2, 6, 7, 9)",48,12,"(0, 1, 2, 6, 7, 9)","[0, 11, 10, 6, 5, 3]"
168,46,6,"(0, 1, 2, 6, 7, 8)",47,6,"(0, 1, 2, 6, 7, 8)",non-chiral
169,45,6,"(0, 1, 2, 5, 9, 10)",46,12,"(0, 1, 2, 5, 9, 10)","[0, 11, 10, 7, 3, 2]"
170,44,6,"(0, 1, 2, 5, 8, 10)",45,12,"(0, 1, 2, 5, 8, 10)","[0, 11, 10, 7, 4, 2]"
171,43,6,"(0, 1, 2, 5, 8, 9)",44,12,"(0, 1, 2, 5, 8, 9)","[0, 11, 10, 7, 4, 3]"
172,42,6,"(0, 1, 2, 5, 7, 10)",43,12,"(0, 1, 2, 5, 7, 10)","[0, 11, 10, 7, 5, 2]"
173,41,6,"(0, 1, 2, 5, 7, 9)",42,12,"(0, 1, 2, 5, 7, 9)",non-chiral
174,40,6,"(0, 1, 2, 5, 7, 8)",41,12,"(0, 1, 2, 5, 7, 8)","[0, 11, 10, 7, 5, 4]"
175,39,6,"(0, 1, 2, 5, 6, 10)",40,12,"(0, 1, 2, 5, 6, 10)","[0, 11, 10, 7, 6, 2]"
176,38,6,"(0, 1, 2, 5, 6, 9)",39,12,"(0, 1, 2, 5, 6, 9)","[0, 11, 10, 7, 6, 3]"
177,37,6,"(0, 1, 2, 5, 6, 8)",38,12,"(0, 1, 2, 5, 6, 8)","[0, 11, 10, 7, 6, 4]"
178,36,6,"(0, 1, 2, 5, 6, 7)",37,12,"(0, 1, 2, 5, 6, 7)",non-chiral
179,35,6,"(0, 1, 2, 4, 9, 10)",36,12,"(0, 1, 2, 4, 9, 10)","[0, 11, 10, 8, 3, 2]"
180,34,6,"(0, 1, 2, 4, 8, 10)",35,12,"(0, 1, 2, 4, 8, 10)","[0, 11, 10, 8, 4, 2]"
181,33,6,"(0, 1, 2, 4, 8, 9)",34,12,"(0, 1, 2, 4, 8, 9)","[0, 11, 10, 8, 4, 3]"
182,32,6,"(0, 1, 2, 4, 7, 10)",33,12,"(0, 1, 2, 4, 7, 10)",non-chiral
183,31,6,"(0, 1, 2, 4, 7, 9)",32,12,"(0, 1, 2, 4, 7, 9)","[0, 11, 10, 8, 5, 3]"
184,30,6,"(0, 1, 2, 4, 7, 8)",31,12,"(0, 1, 2, 4, 7, 8)","[0, 11, 10, 8, 5, 4]"
185,29,6,"(0, 1, 2, 4, 6, 10)",30,12,"(0, 1, 2, 4, 6, 10)","[0, 11, 10, 8, 6, 2]"
186,28,6,"(0, 1, 2, 4, 6, 9)",29,12,"(0, 1, 2, 4, 6, 9)","[0, 11, 10, 8, 6, 3]"
187,27,6,"(0, 1, 2, 4, 6, 8)",28,12,"(0, 1, 2, 4, 6, 8)","[0, 11, 10, 8, 6, 4]"
188,26,6,"(0, 1, 2, 4, 6, 7)",27,12,"(0, 1, 2, 4, 6, 7)","[0, 11, 10, 8, 6, 5]"
189,25,6,"(0, 1, 2, 4, 5, 10)",26,12,"(0, 1, 2, 4, 5, 10)","[0, 11, 10, 8, 7, 2]"
190,24,6,"(0, 1, 2, 4, 5, 9)",25,12,"(0, 1, 2, 4, 5, 9)","[0, 11, 10, 8, 7, 3]"
191,23,6,"(0, 1, 2, 4, 5, 8)",24,12,"(0, 1, 2, 4, 5, 8)","[0, 11, 10, 8, 7, 4]"
192,22,6,"(0, 1, 2, 4, 5, 7)",23,12,"(0, 1, 2, 4, 5, 7)","[0, 11, 10, 8, 7, 5]"
193,21,6,"(0, 1, 2, 4, 5, 6)",22,12,"(0, 1, 2, 4, 5, 6)",non-chiral
194,20,6,"(0, 1, 2, 3, 9, 10)",21,12,"(0, 1, 2, 3, 9, 10)","[0, 11, 10, 9, 3, 2]"
195,19,6,"(0, 1, 2, 3, 8, 10)",20,12,"(0, 1, 2, 3, 8, 10)","[0, 11, 10, 9, 4, 2]"
196,18,6,"(0, 1, 2, 3, 8, 9)",19,12,"(0, 1, 2, 3, 8, 9)","[0, 11, 10, 9, 4, 3]"
197,17,6,"(0, 1, 2, 3, 7, 10)",18,12,"(0, 1, 2, 3, 7, 10)","[0, 11, 10, 9, 5, 2]"
198,16,6,"(0, 1, 2, 3, 7, 9)",17,12,"(0, 1, 2, 3, 7, 9)","[0, 11, 10, 9, 5, 3]"
199,15,6,"(0, 1, 2, 3, 7, 8)",16,12,"(0, 1, 2, 3, 7, 8)",non-chiral
200,14,6,"(0, 1, 2, 3, 6, 10)",15,12,"(0, 1, 2, 3, 6, 10)","[0, 11, 10, 9, 6, 2]"
201,13,6,"(0, 1, 2, 3, 6, 9)",14,12,"(0, 1, 2, 3, 6, 9)",non-chiral
202,12,6,"(0, 1, 2, 3, 6, 8)",13,12,"(0, 1, 2, 3, 6, 8)","[0, 11, 10, 9, 6, 4]"
203,11,6,"(0, 1, 2, 3, 6, 7)",12,12,"(0, 1, 2, 3, 6, 7)","[0, 11, 10, 9, 6, 5]"
204,10,6,"(0, 1, 2, 3, 5, 10)",11,12,"(0, 1, 2, 3, 5, 10)",non-chiral
205,9,6,"(0, 1, 2, 3, 5, 9)",10,12,"(0, 1, 2, 3, 5, 9)","[0, 11, 10, 9, 7, 3]"
206,8,6,"(0, 1, 2, 3, 5, 8)",9,12,"(0, 1, 2, 3, 5, 8)","[0, 11, 10, 9, 7, 4]"
207,7,6,"(0, 1, 2, 3, 5, 7)",8,12,"(0, 1, 2, 3, 5, 7)","[0, 11, 10, 9, 7, 5]"
208,6,6,"(0, 1, 2, 3, 5, 6)",7,12,"(0, 1, 2, 3, 5, 6)","[0, 11, 10, 9, 7, 6]"
209,5,6,"(0, 1, 2, 3, 4, 10)",6,12,"(0, 1, 2, 3, 4, 10)","[0, 11, 10, 9, 8, 2]"
210,4,6,"(0, 1, 2, 3, 4, 9)",5,12,"(0, 1, 2, 3, 4, 9)","[0, 11, 10, 9, 8, 3]"
211,3,6,"(0, 1, 2, 3, 4, 8)",4,12,"(0, 1, 2, 3, 4, 8)",non-chiral
212,2,6,"(0, 1, 2, 3, 4, 7)",3,12,"(0, 1, 2, 3, 4, 7)","[0, 11, 10, 9, 8, 5]"
213,1,6,"(0, 1, 2, 3, 4, 6)",2,12,"(0, 1, 2, 3, 4, 6)","[0, 11, 10, 9, 8, 6]"
214,0,6,"(0, 1, 2, 3, 4, 5)",1,12,"(0, 1, 2, 3, 4, 5)",non-chiral
215,65,7,"(0, 1, 3, 5, 6, 8, 10)",66,12,major_scale,non-chiral
216,64,7,"(0, 1, 3, 4, 7, 8, 10)",65,12,harmonic_major_scale,harmonic_minor_scale
217,63,7,"(0, 1, 3, 4, 6, 8, 10)",64,12,altered_scale,non-chiral
218,62,7,"(0, 1, 3, 4, 6, 8, 9)",63,12,harmonic_minor_scale,harmonic_major_scale
219,61,7,"(0, 1, 3, 4, 6, 7, 10)",62,12,"(0, 1, 3, 4, 6, 7, 10)","[0, 11, 9, 8, 6, 5, 2]"
220,60,7,"(0, 1, 3, 4, 6, 7, 9)",61,12,"(0, 1, 3, 4, 6, 7, 9)","[0, 11, 9, 8, 6, 5, 3]"
221,59,7,"(0, 1, 2, 6, 7, 9, 10)",60,12,"(0, 1, 2, 6, 7, 9, 10)","[0, 11, 10, 6, 5, 3, 2]"
222,58,7,"(0, 1, 2, 5, 7, 9, 10)",59,12,"(0, 1, 2, 5, 7, 9, 10)","[0, 11, 10, 7, 5, 3, 2]"
223,57,7,"(0, 1, 2, 5, 7, 8, 10)",58,12,"(0, 1, 2, 5, 7, 8, 10)","[0, 11, 10, 7, 5, 4, 2]"
224,56,7,"(0, 1, 2, 5, 6, 9, 10)",57,12,"(0, 1, 2, 5, 6, 9, 10)","[0, 11, 10, 7, 6, 3, 2]"
225,55,7,"(0, 1, 2, 5, 6, 8, 10)",56,12,"(0, 1, 2, 5, 6, 8, 10)","[0, 11, 10, 7, 6, 4, 2]"
226,54,7,"(0, 1, 2, 5, 6, 8, 9)",55,12,"(0, 1, 2, 5, 6, 8, 9)",non-chiral
227,53,7,"(0, 1, 2, 5, 6, 7, 10)",54,12,"(0, 1, 2, 5, 6, 7, 10)","[0, 11, 10, 7, 6, 5, 2]"
228,52,7,"(0, 1, 2, 4, 7, 9, 10)",53,12,"(0, 1, 2, 4, 7, 9, 10)","[0, 11, 10, 8, 5, 3, 2]"
229,51,7,"(0, 1, 2, 4, 7, 8, 10)",52,12,"(0, 1, 2, 4, 7, 8, 10)","[0, 11, 10, 8, 5, 4, 2]"
230,50,7,"(0, 1, 2, 4, 7, 8, 9)",51,12,"(0, 1, 2, 4, 7, 8, 9)","[0, 11, 10, 8, 5, 4, 3]"
231,49,7,"(0, 1, 2, 4, 6, 9, 10)",50,12,"(0, 1, 2, 4, 6, 9, 10)","[0, 11, 10, 8, 6, 3, 2]"
232,48,7,"(0, 1, 2, 4, 6, 8, 10)",49,12,"(0, 1, 2, 4, 6, 8, 10)",non-chiral
233,47,7,"(0, 1, 2, 4, 6, 8, 9)",48,12,"(0, 1, 2, 4, 6, 8, 9)","[0, 11, 10, 8, 6, 4, 3]"
234,46,7,"(0, 1, 2, 4, 6, 7, 10)",47,12,"(0, 1, 2, 4, 6, 7, 10)","[0, 11, 10, 8, 6, 5, 2]"
235,45,7,"(0, 1, 2, 4, 6, 7, 9)",46,12,"(0, 1, 2, 4, 6, 7, 9)","[0, 11, 10, 8, 6, 5, 3]"
236,44,7,"(0, 1, 2, 4, 6, 7, 8)",45,12,"(0, 1, 2, 4, 6, 7, 8)",non-chiral
237,43,7,"(0, 1, 2, 4, 5, 9, 10)",44,12,"(0, 1, 2, 4, 5, 9, 10)",non-chiral
238,42,7,"(0, 1, 2, 4, 5, 8, 10)",43,12,"(0, 1, 2, 4, 5, 8, 10)","[0, 11, 10, 8, 7, 4, 2]"
